experiment,ion,filename,area
4,malate M1,M33,19557241.180993501
4,malate M1,M34,17867293.529315598
4,citrate M0,M31,8471569.5810589902
4,citrate M0,M32,8431665.5636565704
4,citrate M0,M33,8387120.5166236097
4,citrate M0,M34,8458209.2949593291
4,citrate M1,M31,643007.75996944099
4,citrate M1,M32,619320.586530498
4,citrate M1,M33,579455.09273254802
4,citrate M1,M34,641572.85500827304
5,pyruvate M0,M41,1006700907.60508
5,pyruvate M0,M42,847396424.18058002
5,pyruvate M0,M43,837322615.16812503
5,pyruvate M0,M44,919540441.12505496
5,pyruvate M1,M41,36122277.817598499
5,pyruvate M1,M42,30655733.481473599
5,pyruvate M1,M43,30349058.195741698
5,pyruvate M1,M44,32921863.995026398
5,lactate M0,M41,1721671532.7705801
5,lactate M0,M42,1675133102.49403
5,lactate M0,M43,1813973993.74874
5,lactate M0,M44,1771796078.4186399
5,lactate M1,M41,60454838.145470597
5,lactate M1,M42,59880995.139724098
5,lactate M1,M43,64471665.643412702
5,lactate M1,M44,62146251.5264773
5,alanine M0,M41,41519672.907866202
5,alanine M0,M42,39405485.79806
5,alanine M0,M43,39256037.578530401
5,alanine M0,M44,41504692.438464902
5,alanine M1,M41,1485949.7353507699
5,alanine M1,M42,1372409.21160219
5,alanine M1,M43,1395676.76766605
5,alanine M1,M44,1439605.68309102
5,glutamine M0,M41,227486826.31445801
5,glutamine M0,M42,228452584.15715399
5,glutamine M0,M43,221478969.47931701
5,glutamine M0,M44,224967023.78578001
5,glutamine M1,M41,13223282.013397301
5,glutamine M1,M42,13354355.225270901
5,glutamine M1,M43,12997322.1771338
5,glutamine M1,M44,13170178.834081501
5,glutamate M0,M41,233974361.24622101
5,glutamate M0,M42,234463169.81559101
5,glutamate M0,M43,223219692.90976501
5,glutamate M0,M44,227970707.569004
5,glutamate M1,M41,14076504.2329474
5,glutamate M1,M42,14057464.1569752
5,glutamate M1,M43,13213584.4693949
5,glutamate M1,M44,13419752.4929433
5,serine M0,M41,102227318.57563899
5,serine M0,M42,113729313.85845
5,serine M0,M43,111560139.302406
5,serine M0,M44,109621859.39916401
5,serine M1,M41,3719619.5451409598
5,serine M1,M42,4044797.13303009
5,serine M1,M43,3936776.1283480399
5,serine M1,M44,3896623.3675952698
5,aspartate M0,M41,60241558.741415799
5,aspartate M0,M42,64475531.317656599
5,aspartate M0,M43,62654888.541457899
5,aspartate M0,M44,61955063.831433199
5,aspartate M1,M41,2815230.5306893699
5,aspartate M1,M42,3077478.5352537599
5,aspartate M1,M43,2967866.8124403101
5,aspartate M1,M44,2953808.1989740198
5,2HG M0,M41,385910160.59271502
5,2HG M0,M42,400178072.31656599
5,2HG M0,M43,395029576.71814603
5,2HG M0,M44,384521672.65138203
5,2HG M1,M41,23678577.6983729
5,2HG M1,M42,23990358.103796002
5,2HG M1,M43,24250526.677115399
5,2HG M1,M44,23177223.961888999
5,succinate M0,M41,106911572.925238
5,succinate M0,M42,108503792.15135001
5,succinate M0,M43,107903916.247135
5,succinate M0,M44,105179704.72143801
5,succinate M1,M41,5192417.2531722197
5,succinate M1,M42,5231871.7648392497
5,succinate M1,M43,5169904.0904272702
5,succinate M1,M44,5117959.8181845797
5,2OG M0,M41,145030556.407105
5,2OG M0,M42,152649735.714735
5,2OG M0,M43,150849195.83877999
5,2OG M0,M44,144710514.113213
5,2OG M1,M41,8518530.9243434891
5,2OG M1,M42,9061391.2125333697
5,2OG M1,M43,9070052.7253366504
5,2OG M1,M44,8637329.94886145
5,malate M0,M41,378915842.80924797
5,malate M0,M42,447703930.18431801
5,malate M0,M43,442568337.22011501
5,malate M0,M44,433060041.30847502
5,malate M1,M41,18339935.591919001
5,malate M1,M42,21314191.7970661
5,malate M1,M43,21457995.673843302
5,malate M1,M44,20471457.683864601
5,citrate M0,M41,9007890.7829536702
5,citrate M0,M42,8624859.2820676304
5,citrate M0,M43,8870435.4318543896
5,citrate M0,M44,NA
5,citrate M1,M41,682471.22729024698
5,citrate M1,M42,655536.613468325
5,citrate M1,M43,649615.22216753301
5,citrate M1,M44,NA
6,pyruvate M0,M51,917307979.63891602
6,pyruvate M0,M52,956811348.98841298
6,pyruvate M0,M53,890620947.13339901
6,pyruvate M0,M54,956167209.98250604
6,pyruvate M1,M51,NA
6,pyruvate M1,M52,NA
6,pyruvate M1,M53,NA
6,pyruvate M1,M54,NA
6,lactate M0,M51,NA
6,lactate M0,M52,NA
6,lactate M0,M53,NA
6,lactate M0,M54,NA
6,lactate M1,M51,NA
6,lactate M1,M52,NA
6,lactate M1,M53,NA
6,lactate M1,M54,NA
6,alanine M0,M51,NA
6,alanine M0,M52,NA
6,alanine M0,M53,NA
6,alanine M0,M54,NA
6,alanine M1,M51,NA
6,alanine M1,M52,NA
6,alanine M1,M53,NA
6,alanine M1,M54,NA
6,glutamine M0,M51,234847665.96631801
6,glutamine M0,M52,237182440.330892
6,glutamine M0,M53,241003682.52020499
6,glutamine M0,M54,240610396.26280999
6,glutamine M1,M51,13747364.128232799
6,glutamine M1,M52,13688298.8337416
6,glutamine M1,M53,13953979.1939638
6,glutamine M1,M54,13958841.765628699
6,glutamate M0,M51,243694387.864961
6,glutamate M0,M52,242325826.968716
6,glutamate M0,M53,240048754.442424
6,glutamate M0,M54,245845435.43972901
6,glutamate M1,M51,14311853.4490749
6,glutamate M1,M52,14279249.6710502
6,glutamate M1,M53,14066514.7834954
6,glutamate M1,M54,14691603.3308881
6,serine M0,M51,NA
6,serine M0,M52,NA
6,serine M0,M53,NA
6,serine M0,M54,NA
6,serine M1,M51,NA
6,serine M1,M52,NA
6,serine M1,M53,NA
6,serine M1,M54,NA
6,aspartate M0,M51,70939885.753425106
6,aspartate M0,M52,71613573.495485395
6,aspartate M0,M53,68381573.335430905
6,aspartate M0,M54,68858366.216434598
6,aspartate M1,M51,3259414.45436631
6,aspartate M1,M52,3347508.0814393698
6,aspartate M1,M53,3172951.6216708999
6,aspartate M1,M54,3192758.77551609
6,2HG M0,M51,417830661.36233902
6,2HG M0,M52,409731678.67671198
6,2HG M0,M53,409543221.81240898
6,2HG M0,M54,427127915.242823
6,2HG M1,M51,25462773.2948354
6,2HG M1,M52,24975861.025266901
6,2HG M1,M53,24375445.775946599
6,2HG M1,M54,25680133.767633799
6,succinate M0,M51,130185488.818547
6,succinate M0,M52,130242035.891157
6,succinate M0,M53,128091917.667128
6,succinate M0,M54,128462140.342115
6,succinate M1,M51,5827379.2273508003
6,succinate M1,M52,6016930.1961789504
6,succinate M1,M53,5988198.2529705204
6,succinate M1,M54,5883587.1681033503
6,2OG M0,M51,161233357.64989299
6,2OG M0,M52,157595005.48119301
6,2OG M0,M53,164832435.34521699
6,2OG M0,M54,157244555.59680501
6,2OG M1,M51,9651672.2659124807
6,2OG M1,M52,9292295.3653286509
6,2OG M1,M53,9735198.19885372
6,2OG M1,M54,9412846.1847004499
6,malate M0,M51,439282722.66877902
