plate,date,oxygen,treatment,time,gene,replicate,ct
b,2018-02-08,0.2%,None,24,ACTIN,a,18.337688
b,2018-02-08,0.2%,None,24,ACTIN,b,18.362816
b,2018-02-12,0.2%,None,24,ACTIN,a,17.667547
b,2018-02-12,0.2%,None,24,ACTIN,b,17.727297
b,2018-01-30,0.2%,None,48,ACTIN,a,17.950878
b,2018-01-30,0.2%,None,48,ACTIN,b,17.939436
b,2018-02-04,0.2%,None,48,ACTIN,a,18.088663
b,2018-02-04,0.2%,None,48,ACTIN,b,18.088139
b,2018-02-08,0.2%,None,48,ACTIN,a,18.161509
b,2018-02-08,0.2%,None,48,ACTIN,b,18.154903
b,2018-02-12,0.2%,None,48,ACTIN,a,17.889269
b,2018-02-12,0.2%,None,48,ACTIN,b,17.914003
b,2018-01-30,0.2%,None,72,ACTIN,a,18.259447
b,2018-01-30,0.2%,None,72,ACTIN,b,18.30094
b,2018-02-04,0.2%,None,72,ACTIN,a,18.009655
b,2018-02-04,0.2%,None,72,ACTIN,b,18.046314
b,2018-02-08,0.2%,None,72,ACTIN,a,18.344036
b,2018-02-08,0.2%,None,72,ACTIN,b,18.35026
b,2018-02-12,0.2%,None,72,ACTIN,a,17.955952
b,2018-02-12,0.2%,None,72,ACTIN,b,17.97967
b,2018-01-30,21%,None,0,LDHA,a,23.006405
b,2018-01-30,21%,None,0,LDHA,b,23.008839
b,2018-02-04,21%,None,0,LDHA,a,22.797321
b,2018-02-04,21%,None,0,LDHA,b,22.889467
b,2018-02-08,21%,None,0,LDHA,a,22.754477
b,2018-02-08,21%,None,0,LDHA,b,22.757864
b,2018-02-12,21%,None,0,LDHA,a,23.242865
b,2018-02-12,21%,None,0,LDHA,b,23.243254
b,2018-01-30,21%,None,24,LDHA,a,22.475555
b,2018-01-30,21%,None,24,LDHA,b,22.54295
b,2018-02-04,21%,None,24,LDHA,a,22.347841
b,2018-02-04,21%,None,24,LDHA,b,22.360142
b,2018-02-08,21%,None,24,LDHA,a,22.539185
b,2018-02-08,21%,None,24,LDHA,b,22.596832
b,2018-02-12,21%,None,24,LDHA,a,22.611095
b,2018-02-12,21%,None,24,LDHA,b,22.616188
b,2018-01-30,21%,None,48,LDHA,a,22.49055
b,2018-01-30,21%,None,48,LDHA,b,22.523521
b,2018-02-04,21%,None,48,LDHA,a,22.680365
b,2018-02-04,21%,None,48,LDHA,b,22.704933
b,2018-02-08,21%,None,48,LDHA,a,22.975378
b,2018-02-08,21%,None,48,LDHA,b,22.98429
b,2018-02-12,21%,None,48,LDHA,a,22.94605
b,2018-02-12,21%,None,48,LDHA,b,22.898935
b,2018-01-30,21%,None,72,LDHA,a,22.307451
b,2018-01-30,21%,None,72,LDHA,b,22.335728
b,2018-02-04,21%,None,72,LDHA,a,22.926903
b,2018-02-04,21%,None,72,LDHA,b,22.90326
b,2018-02-08,21%,None,72,LDHA,a,22.718294
b,2018-02-08,21%,None,72,LDHA,b,22.759638
b,2018-02-12,21%,None,72,LDHA,a,22.67114
b,2018-02-12,21%,None,72,LDHA,b,22.688269
b,2018-01-30,0.2%,None,0,LDHA,a,20.546425
b,2018-01-30,0.2%,None,0,LDHA,b,20.530317
b,2018-02-04,0.2%,None,0,LDHA,a,20.781025
b,2018-02-04,0.2%,None,0,LDHA,b,20.797586
b,2018-02-08,0.2%,None,0,LDHA,a,21.221668
b,2018-02-08,0.2%,None,0,LDHA,b,21.299658
b,2018-02-12,0.2%,None,0,LDHA,a,21.406443
b,2018-02-12,0.2%,None,0,LDHA,b,21.410957
b,2018-01-30,0.2%,None,24,LDHA,a,21.22229
b,2018-01-30,0.2%,None,24,LDHA,b,21.22985
b,2018-02-04,0.2%,None,24,LDHA,a,20.528975
b,2018-02-04,0.2%,None,24,LDHA,b,20.528692
b,2018-02-08,0.2%,None,24,LDHA,a,20.90152
b,2018-02-08,0.2%,None,24,LDHA,b,20.932875
b,2018-02-12,0.2%,None,24,LDHA,a,20.748302
b,2018-02-12,0.2%,None,24,LDHA,b,20.797678
b,2018-01-30,0.2%,None,48,LDHA,a,20.431515
b,2018-01-30,0.2%,None,48,LDHA,b,20.469685
b,2018-02-04,0.2%,None,48,LDHA,a,20.356262
b,2018-02-04,0.2%,None,48,LDHA,b,20.39784
b,2018-02-08,0.2%,None,48,LDHA,a,20.469624
b,2018-02-08,0.2%,None,48,LDHA,b,20.507065
b,2018-02-12,0.2%,None,48,LDHA,a,20.4873
b,2018-02-12,0.2%,None,48,LDHA,b,20.531069
b,2018-01-30,0.2%,None,72,LDHA,a,20.866652
b,2018-01-30,0.2%,None,72,LDHA,b,20.953918
b,2018-02-04,0.2%,None,72,LDHA,a,20.555065
b,2018-02-04,0.2%,None,72,LDHA,b,20.617489
b,2018-02-08,0.2%,None,72,LDHA,a,20.947433
b,2018-02-08,0.2%,None,72,LDHA,b,20.93351
b,2018-02-12,0.2%,None,72,LDHA,a,20.586884
b,2018-02-12,0.2%,None,72,LDHA,b,20.691368
