method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,lac3,0.5%,None,AKG,24,M1,0.003232680740726304,0.0014714583014436337
sim,lac3,0.5%,None,AKG,24,M2,0.13903463731857418,0.017905546660764386
sim,lac3,0.5%,None,AKG,24,M3,0.011518080025365569,0.0017446876695469695
sim,lac3,0.5%,None,AKG,24,M4,0.016821996375414552,0.004088100512704936
sim,lac3,0.5%,None,AKG,24,M5,0.015832054714907326,0.001003551288520188
sim,lac3,0.5%,None,AKG,36,M0,0.8441898925456447,0.015444254425816359
sim,lac3,0.5%,None,AKG,36,M1,0.002740569610381658,4.2335375159435214e-4
sim,lac3,0.5%,None,AKG,36,M2,0.13183302856256784,0.007093777920843441
sim,lac3,0.5%,None,AKG,36,M3,0.00907428996258515,0.0011151379301830681
sim,lac3,0.5%,None,AKG,36,M4,0.00989849630183262,0.001310772174170936
sim,lac3,0.5%,None,AKG,36,M5,0.012814863377439206,2.248665456347627e-4
sim,lac3,0.5%,None,AKG,48,M0,0.8515266044527419,0.01232811536734578
sim,lac3,0.5%,None,AKG,48,M1,0.0023294656151380483,7.031995231270917e-4
sim,lac3,0.5%,None,AKG,48,M2,0.12043435165069194,0.002673900604628375
sim,lac3,0.5%,None,AKG,48,M3,0.00797456041483164,1.0332883790348875e-4
sim,lac3,0.5%,None,AKG,48,M4,0.007643412429808164,9.374853789408969e-4
sim,lac3,0.5%,None,AKG,48,M5,0.008894537393273675,0.0011036698748249343
sim,q5,21%,None,AKG,12,M0,0.14240682444456854,0.004698482608430177
sim,q5,21%,None,AKG,12,M1,0.002903862764134465,6.410091463287822e-4
sim,q5,21%,None,AKG,12,M2,0.007945312941462248,9.359580899405542e-4
sim,q5,21%,None,AKG,12,M3,0.07044617729994998,0.0013781884966159428
sim,q5,21%,None,AKG,12,M4,0.020284832169899143,9.009739113354224e-5
sim,q5,21%,None,AKG,12,M5,0.7564631653581021,0.0021429265293456167
sim,q5,21%,None,AKG,24,M0,0.1468123009912592,0.002086616444276927
sim,q5,21%,None,AKG,24,M1,0.005270257206062694,4.0304420325307125e-4
sim,q5,21%,None,AKG,24,M2,0.009619813812460123,6.030686706823739e-4
sim,q5,21%,None,AKG,24,M3,0.07789488513800405,0.0016122910419422605
sim,q5,21%,None,AKG,24,M4,0.01985330714181648,6.500115945555043e-5
sim,q5,21%,None,AKG,24,M5,0.7443927087281278,0.004355533665607535
sim,q5,21%,None,AKG,36,M0,0.14095545189941666,0.004085959520976932
sim,q5,21%,None,AKG,36,M1,0.006907828887087019,1.5111319667191638e-4
sim,q5,21%,None,AKG,36,M2,0.011099009485229648,2.5123405857820855e-4
sim,q5,21%,None,AKG,36,M3,0.08342363688080291,0.0010873671348136864
sim,q5,21%,None,AKG,36,M4,0.019389149403391162,6.784869687837612e-5
sim,q5,21%,None,AKG,36,M5,0.7315217995086516,0.008306498560104465
sim,q5,21%,None,AKG,48,M0,0.14856268212417284,0.00684056210433226
sim,q5,21%,None,AKG,48,M1,0.007069224971241078,8.327178863670813e-5
sim,q5,21%,None,AKG,48,M2,0.012024306277401614,8.912968468808533e-5
sim,q5,21%,None,AKG,48,M3,0.08994965265239811,5.480672619317031e-4
sim,q5,21%,None,AKG,48,M4,0.019139720542538867,2.9404394789380497e-4
sim,q5,21%,None,AKG,48,M5,0.7253203779010475,0.005559622608900115
sim,q5,0.5%,None,AKG,12,M0,0.23857330088259146,0.0018389219616619914
sim,q5,0.5%,None,AKG,12,M1,4.818676322157797e-20,4.818676322157798e-20
sim,q5,0.5%,None,AKG,12,M2,0.003807238058099765,6.114882732683926e-4
sim,q5,0.5%,None,AKG,12,M3,0.03486108193396156,0.0031054635897061994
sim,q5,0.5%,None,AKG,12,M4,0.018661445009167926,1.8712962336760145e-4
sim,q5,0.5%,None,AKG,12,M5,0.7103423409766091,0.0012266237873665262
sim,q5,0.5%,None,AKG,24,M0,0.22338796707511516,0.0031857847748346614
sim,q5,0.5%,None,AKG,24,M1,5.82178250468006e-5,4.158999968128583e-5
sim,q5,0.5%,None,AKG,24,M2,0.007427625190263552,4.405339062148237e-4
sim,q5,0.5%,None,AKG,24,M3,0.029216145291463658,0.002931048404280969
sim,q5,0.5%,None,AKG,24,M4,0.019073390335124795,7.276824732103117e-5
sim,q5,0.5%,None,AKG,24,M5,0.7214595210422403,0.0023685628721711537
sim,q5,0.5%,None,AKG,36,M0,0.19774907149549634,0.0010733284729648566
sim,q5,0.5%,None,AKG,36,M1,3.192188176737168e-4,8.696153566526275e-5
sim,q5,0.5%,None,AKG,36,M2,0.008765640634907033,6.322048636156168e-4
sim,q5,0.5%,None,AKG,36,M3,0.03227400267746008,0.0015956869913438905
sim,q5,0.5%,None,AKG,36,M4,0.019921669323442737,1.0130337074996991e-4
sim,q5,0.5%,None,AKG,36,M5,0.738907400974497,0.002636800125328187
sim,q5,0.5%,None,AKG,48,M0,0.20388082174802358,0.00880716890511445
sim,q5,0.5%,None,AKG,48,M1,3.285075788276194e-4,2.075127160370168e-4
sim,q5,0.5%,None,AKG,48,M2,0.009316971890951717,4.1141798627851065e-4
sim,q5,0.5%,None,AKG,48,M3,0.02734272163578929,0.0020226844061594948
sim,q5,0.5%,None,AKG,48,M4,0.019958285452041043,1.8132577552922255e-4
sim,q5,0.5%,None,AKG,48,M5,0.7392885097576276,0.00795033089029242
sim,glc2,21%,None,ALA,12,M0,0.8799872245999335,0.007439923788490747
sim,glc2,21%,None,ALA,12,M1,0.010488406318498551,0.005337779200555112
sim,glc2,21%,None,ALA,12,M2,0.11055351798710043,0.00624145457530008
sim,glc2,21%,None,ALA,12,M3,6.422348654046539e-4,2.765172746269465e-4
sim,glc2,21%,None,ALA,24,M0,0.7911230758532267,0.008532025281802342
sim,glc2,21%,None,ALA,24,M1,0.007413179460663978,0.0036905093584529776
sim,glc2,21%,None,ALA,24,M2,0.19779898382643088,0.008697790392599736
sim,glc2,21%,None,ALA,24,M3,0.0019019274738013453,6.478557473675021e-4
sim,glc2,21%,None,ALA,36,M0,0.7926786407382926,0.011081547750730683
sim,glc2,21%,None,ALA,36,M1,0.004877140213813995,0.0028160249363425646
sim,glc2,21%,None,ALA,36,M2,0.19954915258785566,0.006918688410559615
sim,glc2,21%,None,ALA,36,M3,0.0026575038355776243,2.50638249165447e-4
sim,glc2,21%,None,ALA,48,M0,0.7195734776792054,0.006970551019323224
sim,glc2,21%,None,ALA,48,M1,0.00884560186685956,0.0033965864429050495
sim,glc2,21%,None,ALA,48,M2,0.26491437030936194,0.008008147217726152
sim,glc2,21%,None,ALA,48,M3,0.0037180161889530747,3.2364171963894923e-4
sim,glc2,0.5%,None,ALA,12,M0,0.909620362957523,0.01968407478897757
sim,glc2,0.5%,None,ALA,12,M1,4.497600720908253e-4,4.497600720908253e-4
sim,glc2,0.5%,None,ALA,12,M2,0.08690235643814796,0.014351931778098433
sim,glc2,0.5%,None,ALA,12,M3,8.010320971415856e-4,3.3869618725977256e-4
sim,glc2,0.5%,None,ALA,24,M0,0.8635921086494325,0.005819504683241203
sim,glc2,0.5%,None,ALA,24,M1,0.00812731162698294,0.004083889894421566
sim,glc2,0.5%,None,ALA,24,M2,0.12916263776374134,0.010768771822990669
sim,glc2,0.5%,None,ALA,24,M3,7.36586732205986e-4,3.101625414465574e-4
sim,glc2,0.5%,None,ALA,36,M0,0.7907830338519751,0.023988611251491085
sim,glc2,0.5%,None,ALA,36,M1,0.018647144962906266,0.007516596517895857
sim,glc2,0.5%,None,ALA,36,M2,0.1946394319544154,0.017039392008388523
sim,glc2,0.5%,None,ALA,36,M3,0.00356967104334028,0.0011337146942925315
sim,glc2,0.5%,None,ALA,48,M0,0.8202714736023362,0.08999136849705396
sim,glc2,0.5%,None,ALA,48,M1,0.017215743871035905,0.007915759882343967
sim,glc2,0.5%,None,ALA,48,M2,0.1659106053931668,0.08319267305185503
sim,glc2,0.5%,None,ALA,48,M3,0.005140946766894694,0.0014961465518426179
sim,glc6,21%,None,ALA,12,M0,0.7358006200711993,0.010226613073525235
sim,glc6,21%,None,ALA,12,M1,0,0
sim,glc6,21%,None,ALA,12,M2,0.0065149328190846414,6.475326047003709e-4
sim,glc6,21%,None,ALA,12,M3,0.27956146934124104,0.008939986887909054
